alpha.air,alpha.solid,alpha.water,p_rgh,Points_0,Points_1,Points_2,U.water_Magnitude
0,0,1,99943.3,0.00225,7.5e-05,0,0.000217465
0,0,1,99943.3,0.0022875,7.5e-05,0,0.000215543
0,0,1,99943.3,0.002325,7.5e-05,0,0.000212417
0,0,1,99943.3,0.0023625,7.5e-05,0,0.000208118
0,0,1,99943.3,0.0024,7.5e-05,0,0.000202674
0,0,1,99943.3,0.0024375,7.5e-05,0,0.000196107
0,0,1,99943.3,0.002475,7.5e-05,0,0.000188424
0,0,1,99943.3,0.0025125,7.5e-05,0,0.000179609
0,0,1,99943.3,0.00255,7.5e-05,0,0.000169607
0,0,1,99943.3,0.0025875,7.5e-05,0,0.000158324
0,0,1,99943.3,0.002625,7.5e-05,0,0.000145629
0,0,1,99943.3,0.0026625,7.5e-05,0,0.000131386
0,0,1,99943.3,0.0027,7.5e-05,0,0.000115516
0,0,1,99943.3,0.0027375,7.5e-05,0,9.81009e-05
0,0,1,99943.3,0.002775,7.5e-05,0,7.94926e-05
0,0,1,99943.3,0.0028125,7.5e-05,0,6.04038e-05
0,0,1,99943.3,0.00285,7.5e-05,0,4.18931e-05
0,0,1,99943.3,0.0028875,7.5e-05,0,2.52195e-05
0,0,1,99943.3,0.002925,7.5e-05,0,1.16516e-05
0,0,1,99943.3,0.0029625,7.5e-05,0,2.56981e-06
0,0,1,99943.3,0.003,7.5e-05,0,0
0,0,1,99943.3,0,0.0001125,0,0
0,0,1,99943.3,3.75e-05,0.0001125,0,1.10409e-05
0,0,1,99943.3,7.5e-05,0.0001125,0,2.80369e-05
0,0,1,99943.3,0.0001125,0.0001125,0,4.83946e-05
0,0,1,99943.3,0.00015,0.0001125,0,7.05252e-05
0,0,1,99943.3,0.0001875,0.0001125,0,9.33765e-05
0,0,1,99943.3,0.000225,0.0001125,0,0.000116052
0,0,1,99943.3,0.0002625,0.0001125,0,0.000137748
0,0,1,99943.3,0.0003,0.0001125,0,0.000157858
0,0,1,99943.3,0.0003375,0.0001125,0,0.000176039
0,0,1,99943.3,0.000375,0.0001125,0,0.000192192
0,0,1,99943.3,0.0004125,0.0001125,0,0.000206382
0,0,1,99943.3,0.00045,0.0001125,0,0.000218747
0,0,1,99943.3,0.0004875,0.0001125,0,0.000229434
0,0,1,99943.3,0.000525,0.0001125,0,0.000238558
0,0,1,99943.3,0.0005625,0.0001125,0,0.000246192
0,0,1,99943.3,0.0006,0.0001125,0,0.000252371
0,0,1,99943.3,0.0006375,0.0001125,0,0.000257099
0,0,1,99943.3,0.000675,0.0001125,0,0.000260364
0,0,1,99943.3,0.0007125,0.0001125,0,0.000262142
0,0,1,99943.3,0.00075,0.0001125,0,0.000262411
0,0,1,99943.3,0.0007875,0.0001125,0,0.000261146
0,0,1,99943.3,0.000825,0.0001125,0,0.000258331
0,0,1,99943.3,0.0008625,0.0001125,0,0.000253955
0,0,1,99943.3,0.0009,0.0001125,0,0.000248017
0,0,1,99943.3,0.0009375,0.0001125,0,0.000240526
0,0,1,99943.3,0.000975,0.0001125,0,0.000231504
0,0,1,99943.3,0.0010125,0.0001125,0,0.000220982
0,0,1,99943.3,0.00105,0.0001125,0,0.00020901
0,0,1,99943.3,0.0010875,0.0001125,0,0.000195648
0,0,1,99943.3,0.001125,0.0001125,0,0.000180979
0,0,1,99943.3,0.0011625,0.0001125,0,0.000165106
0,0,1,99943.3,0.0012,0.0001125,0,0.00014816
0,0,1,99943.3,0.0012375,0.0001125,0,0.000130309
0,0,1,99943.3,0.001275,0.0001125,0,0.000111786
0,0,1,99943.3,0.0013125,0.0001125,0,9.2935e-05
0,0,1,99943.3,0.00135,0.0001125,0,7.43473e-05
0,0,1,99943.3,0.0013875,0.0001125,0,5.72117e-05
0,0,1,99943.3,0.001425,0.0001125,0,4.42309e-05
0,0,1,99943.3,0.0014625,0.0001125,0,4.04142e-05
